address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"855 E State Hwy 176, Andrews, TX, 79714",,08:00 AM-05:00 PM,,ho49938939,false,true,,,,poll79472822
"606 E. Lufkin Ave, Lufkin, TX, 75902",,08:00 AM-05:00 PM,,ho23653598,false,true,,,,poll78394607
"400 Kenley St, Diboll, TX, 75941",,08:00 AM-04:30 PM,,ho77687811,false,true,,,,poll25306935
"838 E Main St, Zavalla, TX, 75980",,08:00 AM-04:30 PM,,ho97015197,false,true,,,,poll63266508
"1179 HWY 69, N Huntington, TX, 75949",,08:00 AM-04:30 PM,,ho56293902,false,true,,,,poll3335994
"602 East Concho, Rockport, TX, 78382",,08:00 AM-05:00 PM,,ho58379865,false,true,,,,poll44413358
"300 South First St. Ste 200, Muleshoe, TX, 79347",,08:00 AM-05:00 PM,,ho95443776,false,true,,,,poll52954392
"403 12th Street, Bandera, TX, 78003",,07:00 AM-07:00 PM,,ho50574345,false,true,,,,poll4117220
"161 E.Parker St., Medina, TX, 78055",,07:30 AM-05:30 PM,,ho41797073,false,true,,,,poll5794144
"7200 F.M. 1283, Lakehills, TX, 78063",,07:30 AM-05:30 PM,,ho37210798,false,true,,,,poll61845422
"804 Pecan, Bastrop, TX, 78602",,08:00 AM-05:00 PM,,ho93032956,false,true,,,,poll71355869
"317 Main St., Smithville, TX, 78957",,08:00 AM-05:00 PM,,ho58365123,false,true,,,,poll54654025
"5630 FM535, Cedar Creek, TX, 78612",,08:00 AM-05:00 PM,,ho10880410,false,true,,,,poll95900780
"404 N. Main St., Elgin, TX, 78621",,08:00 AM-05:00 PM,,ho32056974,false,true,,,,poll14426096
"1103 S. Frio Street Ste 100, San Antonio, TX, 78207",,08:00 AM-06:00 PM,,ho98610835,false,true,,,,poll59101632
"110 Tuleta Dr, San Antonio, TX, 78212",,08:00 AM-06:00 PM,,ho27173401,false,true,,,,poll51762624
"530 Heimer Rd, San Antonio, TX, 78232",,08:00 AM-06:00 PM,,ho66703977,false,true,,,,poll215948
"209 Lemonwood Dr, Castle Hills, TX, 78213",,08:00 AM-06:00 PM,,ho42542124,false,true,,,,poll41856660
"2805 E Commerce St, San Antonio, TX, 78202",,08:00 AM-06:00 PM,,ho90788134,false,true,,,,poll90941216
"11441 Vance Jackson Rd, San Antonio, TX, 78230",,08:00 AM-06:00 PM,,ho33448144,false,true,,,,poll36635414
