election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:tx/county:anderson,anderson_cou0001,poll90157044,st48,other,,loc0001
,ocd-id,,ocd-division/country:us/state:tx/county:andrews,andrews_cou0002,poll79472822,st48,other,,loc0002
,ocd-id,,ocd-division/country:us/state:tx/county:angelina,angelina_cou0003,poll63266508 poll25306935 poll78394607 poll3335994,st48,other,,loc0003
,ocd-id,,ocd-division/country:us/state:tx/county:aransas,aransas_cou0004,poll44413358,st48,other,,loc0004
,ocd-id,,ocd-division/country:us/state:tx/county:archer,archer_cou0005,poll10912123 poll32366644 poll36293834 poll94573490,st48,other,,loc0005
,ocd-id,,ocd-division/country:us/state:tx/county:armstrong,armstrong_cou0006,poll25152932,st48,other,,loc0006
,ocd-id,,ocd-division/country:us/state:tx/county:atascosa,atascosa_cou0007,poll77556277,st48,other,,loc0007
,ocd-id,,ocd-division/country:us/state:tx/county:austin,austin_cou0008,poll42959964 poll51035741,st48,other,,loc0008
,ocd-id,,ocd-division/country:us/state:tx/county:bailey,bailey_cou0009,poll97766840,st48,other,,loc0009
,ocd-id,,ocd-division/country:us/state:tx/county:bandera,bandera_cou0010,poll4117220 poll5794144 poll61845422,st48,other,,loc0010
,ocd-id,,ocd-division/country:us/state:tx/county:bastrop,bastrop_cou0011,poll14426096 poll54654025 poll95900780 poll71355869,st48,other,,loc0011
,ocd-id,,ocd-division/country:us/state:tx/county:baylor,baylor_cou0012,poll51057001,st48,other,,loc0012
,ocd-id,,ocd-division/country:us/state:tx/county:bee,bee_cou0013,poll1235164 poll87188175,st48,other,,loc0013
,ocd-id,,ocd-division/country:us/state:tx/county:bell,bell_cou0014,poll1859629 poll97964093 poll18247245 poll87899727 poll93934906 poll62008946,st48,other,,loc0014
,ocd-id,,ocd-division/country:us/state:tx/county:bexar,bexar_cou0015,poll59313813 poll33052293 poll51762624 poll51605346 poll95694516 poll21053840 poll35168153 poll17118434 poll65384336 poll6147857 poll78460235 poll12513374 poll87040538 poll65525053 poll65090364 poll42916076 poll86924345 poll90941216 poll38865423 poll88132917 poll57355676 poll65495211 poll79149239 poll6422113 poll93727780 poll62775518 poll75468273 poll48642823 poll62595925 poll90466460 poll45803968 poll94097266 poll65569723 poll36593200 poll55229482 poll215948 poll77865434 poll36635414 poll85808989 poll29594344 poll13670549 poll27095545 poll41856660,st48,other,,loc0015
,ocd-id,,ocd-division/country:us/state:tx/county:blanco,blanco_cou0016,poll74275812 poll58111497,st48,other,,loc0016
,ocd-id,,ocd-division/country:us/state:tx/county:borden,borden_cou0017,poll87336988,st48,other,,loc0017
,ocd-id,,ocd-division/country:us/state:tx/county:bosque,bosque_cou0018,poll44465107,st48,other,,loc0018
,ocd-id,,ocd-division/country:us/state:tx/county:bowie,bowie_cou0019,poll23406737 poll29467292,st48,other,,loc0019
,ocd-id,,ocd-division/country:us/state:tx/county:brazoria,brazoria_cou0020,poll1712546 poll67881558 poll16556741 poll7564146 poll87713715 poll92608324 poll4159004 poll5027529 poll91331659 poll44190964,st48,other,,loc0020
,ocd-id,,ocd-division/country:us/state:tx/county:brazos,brazos_cou0021,poll11021390 poll9273265 poll17183256 poll42031252 poll44841915,st48,other,,loc0021
,ocd-id,,ocd-division/country:us/state:tx/county:brewster,brewster_cou0022,poll33760231,st48,other,,loc0022
,ocd-id,,ocd-division/country:us/state:tx/county:briscoe,briscoe_cou0023,poll10622082,st48,other,,loc0023
,ocd-id,,ocd-division/country:us/state:tx/county:brooks,brooks_cou0024,poll59768782,st48,other,,loc0024
,ocd-id,,ocd-division/country:us/state:tx/county:brown,brown_cou0025,poll67013638,st48,other,,loc0025
