election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:anderson,ocd-division/country:us/state:tx/county:ander02395,poll91608036,st48,other,,loc0001
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:andrews,ocd-division/country:us/state:tx/county:andr0001,poll2942621,st48,other,,loc0002
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:angelina,ocd-division/country:us/state:tx/county:angel0004,poll45638819 poll85112481 poll5341860 poll93158181,st48,other,,loc0003
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:aransas,ocd-division/country:us/state:tx/county:aran0011,poll31023671,st48,other,,loc0004
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:archer,ocd-division/country:us/state:tx/county:arc0609,poll67525055 poll26811224 poll46189450,st48,other,,loc0005
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:armstrong,ocd-division/country:us/state:tx/county:armstr0612,poll95060156,st48,other,,loc0006
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:atascosa,ocd-division/country:us/state:tx/county:atasc0554,poll10911764,st48,other,,loc0007
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:austin,ocd-division/country:us/state:tx/county:aus0615,poll84510513 poll83950825,st48,other,,loc0008
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:bailey,ocd-division/country:us/state:tx/county:bai0018,poll17656682,st48,other,,loc0009
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:bandera,ocd-division/country:us/state:tx/county:band0021,poll83934015 poll33510333 poll84234496,st48,other,,loc0010
,ocd-id,,ocd-division/country/us/state:tx/county:ocd-division/country:us/state:tx/county:bastrop,ocd-division/country:us/state:tx/county:bast0028,poll10016583 poll82505353 poll49051113 poll26631458,st48,other,,loc0011
