office-name,ocd-division,directions,precinct name,name,street,City,state,zip,start time,end time
Gregg County,ocd-division/country:us/state:tx/county:gregg,,1,LONGVIEW COMMUNITY CENTER,500 E WHALEY ST,LONGVIEW,TX,75601,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,2,SAINT ANDREW PRESBYTERIAN CHURCH,2500 MCCANN RD,LONGVIEW,TX,75605,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,3,FOREST PARK MIDDLE SCHOOL,1644 N EASTMAN RD,LONGVIEW,TX,75601,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,4,ALPINE PRESBYTERIAN CHURCH,4102 TRYON RD,LONGVIEW,TX,75605,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,5,JUDSON COMMUNITY CENTER,1129 FM 1844,LONGVIEW,TX,75605,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,6,SPRING HILL FIRST BAPTIST CHURCH,4000 GILMER RD,LONGVIEW,TX,75605,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,7,SPRING HILL JUNIOR HIGH,3101 SPRING HILL RD,LONGVIEW,TX,75605,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,8,PINE TREE COMMUNITY CENTER,1701 PINE TREE RD,LONGVIEW,TX,75604,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,9,PINE TREE HIGH SCHOOL,1005 W FAIRMONT,LONGVIEW,TX,75604,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,10,GREGGTON COMMUNITY CENTER,3211 W MARSHALL,LONGVIEW,TX,75604,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,11,PINE TREE ISD FACILITY SERVICES,1400 SILVER FALLS ROAD,LONGVIEW,TX,75604,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,12,EMMANUEL BAPTIST CHURCH,501 E. HIGHWAY 80,WHITE OAK,TX,75693,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,13,GLADEWATER CITY HALL,519 E BROADWAY,GLADEWATER,TX,75647,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,14,OLD SABINE ISD ELEMENTARY CAFETERIA,5219 OLD HIGHWAY 135 N,LIBERTY CITY,TX,75647,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,15,KILGORE COMMUNITY CENTER,622 KAY ST,KILGORE,TX,75662,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,16,MEADOWBROOK COUNTRY CLUB,1306 HOUSTON ST,KILGORE,TX,75662,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,17,"MARTIN LUTHER KING, JR. COMMUNITY CENTER",1003 M L KING DR,KILGORE,TX,75662,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,18,ELDERVILLE COMMUNITY CENTER,10450 HWY 349,LONGVIEW,TX,75603,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,19,SAINT MARK CME CHURCH,1100 SAPPHIRE,LONGVIEW,TX,75602,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,20,STAMPER PARK RESOURCE CENTER,502 S CENTER,LONGVIEW,TX,75601,07:00:00 - 06:00,19:00:00 - 06:00
Gregg County,ocd-division/country:us/state:tx/county:gregg,,21,BROUGHTON RECREATION CENTER,801 S MLK BLVD,LONGVIEW,TX,75602,07:00:00 - 06:00,19:00:00 - 06:00
