name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Trolley Square,"600 S 700 E, Salt Lake City, UT 84102",,03:00 PM-07:00 PM,,ho86815543,false,true,,,,poll61582448
Magna Senior Center,"9228 W Magna Main St, Magna, UT 84044",2700 S,10:00 AM-02:00 PM,,ho77224042,false,true,,,,poll49054574
Riverton Senior Center,"12914 S Redwood Rd, Riverton, UT 84065",1700 W,10:00 AM-02:00 PM,,ho82147400,false,true,,,,poll89601719
Santa Clara Branch Library,"1099 Lava Flow Dr, St George, UT 84770",,11:00 AM-04:00 PM,,ho37957929,false,true,,,,poll25845735
Dixie Convention Center,"1835 Convention Center Dr, St George, UT 84790",,10:00 AM-04:00 PM,,ho48912451,false,true,,,,poll73506883
Hurricane City Community Center,"63 S 100 W, Hurricane, UT 84737",,03:00 PM-07:00 PM,,ho1043371,false,true,,,,poll82918304
County Courthouse,"751 E 100 N #1700, Price, UT 84501",,11:00 AM-07:00 PM,,ho93186558,false,true,,,,poll87903929
Eagle Mountain City Hall,"1650 E Stagecoach Run, Eagle Mountain, UT 84005",,08:00 AM-12:00 PM,,ho71484200,false,true,,,,poll80976946
Orem City Center,"56 N State St, Orem, UT 84057",Room 100,01:00 PM-05:00 PM,,ho69660187,false,true,,,,poll12301987
Payson City Municipal Building - Banquet Hall,"439 W Utah Ave, Payson, UT 84651",,01:00 PM-05:00 PM,,ho69312703,false,true,,,,poll76582100
Provo City Rec Center,"320 W 500 N, Provo, UT 84601",,10:00 AM-06:00 PM,,ho75357876,false,true,,,,poll5470765
American Fork Library,"64 South 100 East, American Fork, UT 84003",,01:00 PM-06:00 PM,,ho84040729,false,true,,,,poll95967545
Daggett County Courthouse,"95 N. 1st W., Manila, UT 84046",,09:00 AM-05:00 PM,,ho88585551,false,true,,,,poll26177246
Tooele Senior Citizens Center,"59 E. Vine St., Tooele, UT 84074",,09:00 AM-12:00 PM,,ho43529650,false,true,,,,poll30506997
