start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
15:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-28,ho86815543,sch0001
15:00:00-07:00,19:00:00-07:00,,,,2016-11-02,2016-11-03,ho86815543,sch0002
15:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho86815543,sch0003
10:00:00-07:00,14:00:00-07:00,,,,2016-10-26,2016-10-28,ho77224042,sch0004
10:00:00-07:00,14:00:00-07:00,,,,2016-11-02,2016-11-04,ho77224042,sch0005
10:00:00-07:00,14:00:00-07:00,,,,2016-10-26,2016-10-28,ho82147400,sch0006
10:00:00-07:00,14:00:00-07:00,,,,2016-11-02,2016-11-04,ho82147400,sch0007
11:00:00-07:00,16:00:00-07:00,,,,2016-10-25,2016-10-28,ho37957929,sch0008
13:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-03,ho37957929,sch0009
12:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho37957929,sch0010
10:00:00-07:00,16:00:00-07:00,,,,2016-10-31,2016-11-03,ho48912451,sch0011
13:00:00-07:00,17:00:00-07:00,,,,2016-11-03,2016-11-04,ho48912451,sch0012
15:00:00-07:00,19:00:00-07:00,,,,2016-10-25,2016-10-28,ho1043371,sch0013
09:00:00-07:00,13:00:00-07:00,,,,2016-10-31,2016-11-03,ho1043371,sch0014
13:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho1043371,sch0015
11:00:00-07:00,19:00:00-07:00,,,,2016-10-25,2016-11-04,ho93186558,sch0016
11:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-11-03,ho93186558,sch0017
11:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho93186558,sch0018
08:00:00-07:00,12:00:00-07:00,,,,2016-10-25,2016-10-25,ho71484200,sch0019
13:00:00-07:00,17:00:00-07:00,,,,2016-10-26,2016-10-28,ho71484200,sch0020
13:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-10-31,ho71484200,sch0021
08:00:00-07:00,12:00:00-07:00,,,,2016-11-01,2016-11-01,ho71484200,sch0022
13:00:00-07:00,17:00:00-07:00,,,,2016-11-02,2016-11-04,ho71484200,sch0023
13:00:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-10-28,ho69660187,sch0024
13:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho69660187,sch0025
13:00:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-11-04,ho69312703,sch0026
13:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho69312703,sch0027
10:00:00-07:00,18:00:00-07:00,,,,2016-10-25,2016-10-28,ho75357876,sch0028
10:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-03,ho75357876,sch0029
10:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho75357876,sch0030
13:00:00-07:00,18:00:00-07:00,,,,2016-10-25,2016-10-28,ho84040729,sch0031
13:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-03,ho84040729,sch0032
13:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho84040729,sch0033
09:00:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-10-25,ho88585551,sch0034
09:00:00-07:00,19:00:00-07:00,,,,2016-10-26,2016-10-26,ho88585551,sch0035
09:00:00-07:00,17:00:00-07:00,,,,2016-10-27,2016-10-28,ho88585551,sch0036
09:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-10-31,ho88585551,sch0037
09:00:00-07:00,19:00:00-07:00,,,,2016-11-01,2016-11-01,ho88585551,sch0038
09:00:00-07:00,17:00:00-07:00,,,,2016-11-02,2016-11-02,ho88585551,sch0039
09:00:00-07:00,19:00:00-07:00,,,,2016-11-03,2016-11-03,ho88585551,sch0040
09:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho88585551,sch0041
09:00:00-07:00,12:00:00-07:00,,,,2016-11-02,2016-11-02,ho43529650,sch0042
09:30:00-07:00,11:30:00-07:00,,,,2016-10-26,2016-10-26,ho95921169,sch0043
09:00:00-07:00,13:00:00-07:00,,,,2016-10-25,2016-10-26,ho28567264,sch0044
13:00:00-07:00,17:00:00-07:00,,,,2016-10-27,2016-10-28,ho28567264,sch0045
13:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-10-31,ho28567264,sch0046
09:00:00-07:00,13:00:00-07:00,,,,2016-11-01,2016-11-02,ho28567264,sch0047
13:00:00-07:00,17:00:00-07:00,,,,2016-11-03,2016-11-04,ho28567264,sch0048
09:00:00-07:00,13:00:00-07:00,,,,2016-10-25,2016-10-26,ho75934591,sch0049
13:00:00-07:00,17:00:00-07:00,,,,2016-10-27,2016-10-28,ho75934591,sch0050
13:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-10-31,ho75934591,sch0051
09:00:00-07:00,13:00:00-07:00,,,,2016-11-01,2016-11-02,ho75934591,sch0052
13:00:00-07:00,17:00:00-07:00,,,,2016-11-03,2016-11-04,ho75934591,sch0053
08:00:00-07:00,18:00:00-07:00,,,,2016-10-28,2016-10-28,ho76164199,sch0054
08:00:00-07:00,18:00:00-07:00,,,,2016-11-04,2016-11-04,ho76164199,sch0055
13:00:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-10-28,ho27734447,sch0056
09:00:00-07:00,14:00:00-07:00,,,,2016-10-29,2016-10-29,ho27734447,sch0057
13:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho27734447,sch0058
12:00:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-10-28,ho13672490,sch0059
13:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-03,ho13672490,sch0060
12:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho13672490,sch0061
08:30:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-10-28,ho76860671,sch0062
08:30:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho76860671,sch0063
13:00:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-10-28,ho56392353,sch0064
13:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho56392353,sch0065
08:00:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-10-28,ho90426996,sch0066
08:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho90426996,sch0067
08:00:00-07:00,17:00:00-07:00,,,,2016-11-01,2016-11-03,ho76708003,sch0068
07:10:00-07:00,17:50:00-07:00,,,,2014-10-08,2014-09-09,ho36657448,sch0069
07:10:00-07:00,17:50:00-07:00,,,,2016-10-14,2016-10-16,ho36657448,sch0070
07:10:00-07:00,17:50:00-07:00,,,,2016-10-20,2016-10-23,ho36657448,sch0071
07:10:00-07:00,17:50:00-07:00,,,,2016-10-27,2016-10-30,ho36657448,sch0072
09:00:00-07:00,16:00:00-07:00,,,,2016-10-25,2016-10-28,ho19581798,sch0073
10:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho19581798,sch0074
13:00:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-10-28,ho57938888,sch0075
13:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-10-31,ho57938888,sch0076
09:00:00-07:00,13:00:00-07:00,,,,2016-11-01,2016-11-02,ho57938888,sch0077
13:00:00-07:00,17:00:00-07:00,,,,2016-11-03,2016-11-04,ho57938888,sch0078
12:00:00-07:00,17:00:00-07:00,,,,2016-10-25,2016-10-28,ho8380395,sch0079
12:00:00-07:00,17:00:00-07:00,,,,2016-10-31,2016-11-04,ho8380395,sch0080
10:00:00-07:00,19:00:00-07:00,,,,2016-10-25,2016-10-27,ho63701334,sch0081
10:00:00-07:00,17:00:00-07:00,,,,2016-10-28,2016-10-28,ho63701334,sch0082
09:00:00-07:00,14:00:00-07:00,,,,2016-10-29,2016-10-29,ho63701334,sch0083
10:00:00-07:00,19:00:00-07:00,,,,2016-10-31,2016-11-03,ho63701334,sch0084
10:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho63701334,sch0085
12:00:00-07:00,16:00:00-07:00,,,,2016-11-01,2016-11-03,ho82632127,sch0086
09:00:00-07:00,16:00:00-07:00,,,,2016-10-25,2016-10-28,ho16655126,sch0087
09:00:00-07:00,16:00:00-07:00,,,,2016-10-31,2016-11-03,ho16655126,sch0088
09:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho16655126,sch0089
08:00:00-07:00,18:00:00-07:00,,,,2016-10-25,2016-10-28,ho57217732,sch0090
08:00:00-07:00,18:00:00-07:00,,,,2016-10-31,2016-11-03,ho57217732,sch0091
08:00:00-07:00,17:00:00-07:00,,,,2016-11-04,2016-11-04,ho57217732,sch0092
