name,location_name,address1,address2,address_line3,city,state,zip_code,dirs,voter_services,start_date,end_date,start_time,end_time,days_times_open,ev_id,locality_id,county,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Adams County Auditor's Office,Adams County Auditor's Office,210 W Broadway Ave.,Ste 200,,Ritzville,WA,98512,Up stairs take right Ste 200,VSPC,10/19/16,10/21/16,08:30:00 - 07:00,16:30:00 - 07:00,8:30  a.m. to 4:30  p.m. Ballots are accepted from 7 a.m. until 8 p.m. on election day.,53050010142,5313001,Adams County,1,"210 W Broadway Ave., Ritzville, WA , 98512",Ste 200 Up stairs take right Ste 200,08:30 AM-04:30 PM,,ho17038836,false,true,,,,53050010142
Adams County Auditor's Office,Adams County Auditor's Office,210 W Broadway Ave.,Ste 200,,Ritzville,WA,98512,Up stairs take right Ste 200,VSPC,10/24/16,10/28/16,08:30:00 - 07:00,16:30:00 - 07:00,8:30  a.m. to 4:30  p.m. Ballots are accepted from 7 a.m. until 8 p.m. on election day.,53050010142,5313001,Adams County,2,"210 W Broadway Ave., Ritzville, WA , 98512",Ste 200 Up stairs take right Ste 200,08:30 AM-04:30 PM,,ho17038836,false,true,,,,53050010142
Adams County Auditor's Office,Adams County Auditor's Office,210 W Broadway Ave.,Ste 200,,Ritzville,WA,98512,Up stairs take right Ste 200,VSPC,10/31/16,11/4/16,08:30:00 - 07:00,16:30:00 - 07:00,8:30  a.m. to 4:30  p.m. Ballots are accepted from 7 a.m. until 8 p.m. on election day.,53050010142,5313001,Adams County,3,"210 W Broadway Ave., Ritzville, WA , 98512",Ste 200 Up stairs take right Ste 200,08:30 AM-04:30 PM,,ho17038836,false,true,,,,53050010142
Adams County Auditor's Office,Adams County Auditor's Office,210 W Broadway Ave.,Ste 200,,Ritzville,WA,98512,Up stairs take right Ste 200,VSPC,11/7/16,11/7/16,08:30:00 - 08:00,16:30:00 - 08:00,8:30  a.m. to 4:30  p.m. Ballots are accepted from 7 a.m. until 8 p.m. on election day.,53050010142,5313001,Adams County,5,"210 W Broadway Ave., Ritzville, WA , 98512",Ste 200 Up stairs take right Ste 200,08:30 AM-04:30 PM,,ho17038836,false,true,,,,53050010142
Asotin County Auditor's Office,Asotin County Auditor's Office,135 Second St.,,,Asotin,WA,99402,,VSPC,10/19/16,10/21/16,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050020158,5313002,Asotin County,6,"135 Second St., Asotin, WA , 99402",,08:00 AM-05:00 PM,,ho36301951,false,true,,,,53050020158
Asotin County Auditor's Office,Asotin County Auditor's Office,135 Second St.,,,Asotin,WA,99402,,VSPC,10/24/16,10/28/16,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050020158,5313002,Asotin County,7,"135 Second St., Asotin, WA , 99402",,08:00 AM-05:00 PM,,ho36301951,false,true,,,,53050020158
Asotin County Auditor's Office,Asotin County Auditor's Office,135 Second St.,,,Asotin,WA,99402,,VSPC,10/31/16,11/4/16,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050020158,5313002,Asotin County,8,"135 Second St., Asotin, WA , 99402",,08:00 AM-05:00 PM,,ho36301951,false,true,,,,53050020158
Asotin County Auditor's Office,Asotin County Auditor's Office,135 Second St.,,,Asotin,WA,99402,,VSPC,11/7/16,11/7/16,08:00:00 - 08:00,17:00:00 - 08:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050020158,5313002,Asotin County,10,"135 Second St., Asotin, WA , 99402",,08:00 AM-05:00 PM,,ho36301951,false,true,,,,53050020158
Richland Auditor's Office,Richland Auditor's Office,101 Wellsian Way Ste E,Ste E,,Richland,WA,99352,In the Fred Meyer Plaza.,VSPC,10/19/16,10/21/16,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Replacement Ballots Available. Election Day Hours -- 7am - 8pm.,53050030054,5313003,Benton County,11,"101 Wellsian Way Ste E, Richland, WA , 99352",Ste E In the Fred Meyer Plaza.,08:00 AM-05:00 PM,,ho97229421,false,true,,,,53050030054
Richland Auditor's Office,Richland Auditor's Office,101 Wellsian Way Ste E,Ste E,,Richland,WA,99352,In the Fred Meyer Plaza.,VSPC,10/24/16,10/28/16,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Replacement Ballots Available. Election Day Hours -- 7am - 8pm.,53050030054,5313003,Benton County,12,"101 Wellsian Way Ste E, Richland, WA , 99352",Ste E In the Fred Meyer Plaza.,08:00 AM-05:00 PM,,ho97229421,false,true,,,,53050030054
