office-name,ocd-division,directions,name,street,city,state,zip,start_time,end_time,start_date,end_date,notes
Barbour County,ocd-division/country:us/state:wv/county:barbour,,Barbour County Courthouse,26 North Main Street,Philippi,WV,26416,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,
Barbour County,ocd-division/country:us/state:wv/county:barbour,,Barbour County Courthouse,26 North Main Street,Philippi,WV,26416,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Barbour County,ocd-division/country:us/state:wv/county:barbour,,Barbour County Courthouse,26 North Main Street,Philippi,WV,26416,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,
Barbour County,ocd-division/country:us/state:wv/county:barbour,,Barbour County Courthouse,26 North Main Street,Philippi,WV,26416,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Berkeley County,ocd-division/country:us/state:wv/county:berkeley,,Berkeley County Courthouse,110 West King Street,Martinsburg,WV,25401,09:00:00 - 04:00,17:00:00 - 04:00,10/26/16,10/29/16,
Berkeley County,ocd-division/country:us/state:wv/county:berkeley,,Berkeley County Courthouse,110 West King Street,Martinsburg,WV,25401,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/5/16,
Boone County,ocd-division/country:us/state:wv/county:boone,,Boone County Courthouse,200 State Street,Madison,WV,25130,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Boone County,ocd-division/country:us/state:wv/county:boone,,Boone County Courthouse,200 State Street,Madison,WV,25130,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Boone County,ocd-division/country:us/state:wv/county:boone,,Boone County Courthouse,200 State Street,Madison,WV,25130,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Boone County,ocd-division/country:us/state:wv/county:boone,,Boone County Courthouse,200 State Street,Madison,WV,25130,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Braxton County,ocd-division/country:us/state:wv/county:braxton,,Old Fisher Auto Parts Building ,309 Main Street,Sutton,WV,26601,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Braxton County,ocd-division/country:us/state:wv/county:braxton,,Old Fisher Auto Parts Building ,309 Main Street,Sutton,WV,26601,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Braxton County,ocd-division/country:us/state:wv/county:braxton,,Old Fisher Auto Parts Building ,309 Main Street,Sutton,WV,26601,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Braxton County,ocd-division/country:us/state:wv/county:braxton,,Old Fisher Auto Parts Building ,309 Main Street,Sutton,WV,26601,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Brooke County,ocd-division/country:us/state:wv/county:brooke,,Brooke County Courthouse,632 Main Street,Wellsburg,WV,26070,09:00:00 - 04:00,17:00:00 - 04:00,10/26/16,10/29/16,
Brooke County,ocd-division/country:us/state:wv/county:brooke,,Brooke County Courthouse,632 Main Street,Wellsburg,WV,26070,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/5/16,
