office-name,ocd-division,directions,name,street,city,state,zip,start_time,end_time,start_date,end_date,notes,index,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Barbour County,ocd-division/country:us/state:wv/county:barbour,,Barbour County Courthouse,26 North Main Street,Philippi,WV,26416,08:30:00 - 04:00,16:30:00 - 04:00,10/26/16,10/28/16,,1,"26 North Main Street, Philippi, WV 26416",08:30 AM-04:30 PM,,ho65133765,FALSE,TRUE,,,,poll72461889
Barbour County,ocd-division/country:us/state:wv/county:barbour,,Barbour County Courthouse,26 North Main Street,Philippi,WV,26416,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,2,"26 North Main Street, Philippi, WV 26416",09:00 AM-05:00 PM,,ho65133765,FALSE,TRUE,,,,poll72461889
Barbour County,ocd-division/country:us/state:wv/county:barbour,,Barbour County Courthouse,26 North Main Street,Philippi,WV,26416,08:30:00 - 04:00,16:30:00 - 04:00,10/31/16,11/4/16,,3,"26 North Main Street, Philippi, WV 26416",08:30 AM-04:30 PM,,ho65133765,FALSE,TRUE,,,,poll72461889
Barbour County,ocd-division/country:us/state:wv/county:barbour,,Barbour County Courthouse,26 North Main Street,Philippi,WV,26416,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,,4,"26 North Main Street, Philippi, WV 26416",09:00 AM-05:00 PM,,ho65133765,FALSE,TRUE,,,,poll72461889
Berkeley County,ocd-division/country:us/state:wv/county:berkeley,,Berkeley County Courthouse,110 West King Street,Martinsburg,WV,25401,09:00:00 - 04:00,17:00:00 - 04:00,10/26/16,10/29/16,,5,"110 West King Street, Martinsburg, WV 25401",09:00 AM-05:00 PM,,ho92961588,FALSE,TRUE,,,,poll63738791
Berkeley County,ocd-division/country:us/state:wv/county:berkeley,,Berkeley County Courthouse,110 West King Street,Martinsburg,WV,25401,09:00:00 - 04:00,17:00:00 - 04:00,10/31/16,11/5/16,,6,"110 West King Street, Martinsburg, WV 25401",09:00 AM-05:00 PM,,ho92961588,FALSE,TRUE,,,,poll63738791
Boone County,ocd-division/country:us/state:wv/county:boone,,Boone County Courthouse,200 State Street,Madison,WV,25130,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,,7,"200 State Street, Madison, WV 25130",08:00 AM-04:00 PM,,ho64222421,FALSE,TRUE,,,,poll26503714
Boone County,ocd-division/country:us/state:wv/county:boone,,Boone County Courthouse,200 State Street,Madison,WV,25130,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,,8,"200 State Street, Madison, WV 25130",09:00 AM-05:00 PM,,ho64222421,FALSE,TRUE,,,,poll26503714
Boone County,ocd-division/country:us/state:wv/county:boone,,Boone County Courthouse,200 State Street,Madison,WV,25130,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,,9,"200 State Street, Madison, WV 25130",08:00 AM-04:00 PM,,ho64222421,FALSE,TRUE,,,,poll26503714
Boone County,ocd-division/country:us/state:wv/county:boone,,Boone County Courthouse,200 State Street,Madison,WV,25130,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,,10,"200 State Street, Madison, WV 25130",09:00 AM-05:00 PM,,ho64222421,FALSE,TRUE,,,,poll26503714
