election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:wv/county:barbour,ocd-division/country:us/state:wv/county:barb0004,poll72461889,st54,other,,loc0001
,ocd-id,,ocd-division/country:us/state:wv/county:berkeley,ocd-division/country:us/state:wv/county:berke0005,poll63738791,st54,other,,loc0002
,ocd-id,,ocd-division/country:us/state:wv/county:boone,ocd-division/country:us/state:wv/county:bo0010,poll26503714,st54,other,,loc0003
,ocd-id,,ocd-division/country:us/state:wv/county:braxton,ocd-division/country:us/state:wv/county:brax0011,poll30536452,st54,other,,loc0004
,ocd-id,,ocd-division/country:us/state:wv/county:brooke,ocd-division/country:us/state:wv/county:bro0015,poll86429863,st54,other,,loc0005
,ocd-id,,ocd-division/country:us/state:wv/county:cabell,ocd-division/country:us/state:wv/county:cab0019,poll22067836,st54,other,,loc0006
,ocd-id,,ocd-division/country:us/state:wv/county:calhoun,ocd-division/country:us/state:wv/county:calh0024,poll62727510,st54,other,,loc0007
,ocd-id,,ocd-division/country:us/state:wv/county:clay,ocd-division/country:us/state:wv/county:c0028,poll23862889,st54,other,,loc0008
,ocd-id,,ocd-division/country:us/state:wv/county:doddridge,ocd-division/country:us/state:wv/county:doddri0032,poll40808337,st54,other,,loc0009
,ocd-id,,ocd-division/country:us/state:wv/county:fayette,ocd-division/country:us/state:wv/county:faye0040,poll17783388 poll68958242 poll60879839,st54,other,,loc0010
,ocd-id,,ocd-division/country:us/state:wv/county:gilmer,ocd-division/country:us/state:wv/county:gil0048,poll85354860,st54,other,,loc0011
,ocd-id,,ocd-division/country:us/state:wv/county:grant,ocd-division/country:us/state:wv/county:gr0052,poll8631147,st54,other,,loc0012
,ocd-id,,ocd-division/country:us/state:wv/county:greenbrier,ocd-division/country:us/state:wv/county:greenbr0053,poll26654309,st54,other,,loc0013
,ocd-id,,ocd-division/country:us/state:wv/county:hampshire,ocd-division/country:us/state:wv/county:hampsh0059,poll548381,st54,other,,loc0014
,ocd-id,,ocd-division/country:us/state:wv/county:hancock,ocd-division/country:us/state:wv/county:hanc0064,poll61445082,st54,other,,loc0015
,ocd-id,,ocd-division/country:us/state:wv/county:hardy,ocd-division/country:us/state:wv/county:ha0065,poll26485228,st54,other,,loc0016
,ocd-id,,ocd-division/country:us/state:wv/county:harrison,ocd-division/country:us/state:wv/county:harri0071,poll99399915,st54,other,,loc0017
,ocd-id,,ocd-division/country:us/state:wv/county:jackson,ocd-division/country:us/state:wv/county:jack0079,poll11558437 poll64109455,st54,other,,loc0018
,ocd-id,,ocd-division/country:us/state:wv/county:jefferson,ocd-division/country:us/state:wv/county:jeffer0081,poll65372033,st54,other,,loc0019
,ocd-id,,ocd-division/country:us/state:wv/county:kanawha,ocd-division/country:us/state:wv/county:kana0086,poll19132503,st54,other,,loc0020
,ocd-id,,ocd-division/country:us/state:wv/county:lewis,ocd-division/country:us/state:wv/county:le0087,poll70576036,st54,other,,loc0021
,ocd-id,,ocd-division/country:us/state:wv/county:lincoln,ocd-division/country:us/state:wv/county:linc0100,poll61158934 poll15873577 poll21809675,st54,other,,loc0022
,ocd-id,,ocd-division/country:us/state:wv/county:logan,ocd-division/country:us/state:wv/county:lo0105,poll21338766,st54,other,,loc0023
,ocd-id,,ocd-division/country:us/state:wv/county:marion,ocd-division/country:us/state:wv/county:mar0112,poll53196250 poll42306101,st54,other,,loc0024
,ocd-id,,ocd-division/country:us/state:wv/county:marshall,ocd-division/country:us/state:wv/county:marsh0119,poll88225676,st54,other,,loc0025
,ocd-id,,ocd-division/country:us/state:wv/county:mason,ocd-division/country:us/state:wv/county:ma0123,poll4862786,st54,other,,loc0026
,ocd-id,,ocd-division/country:us/state:wv/county:mcdowell,ocd-division/country:us/state:wv/county:mcdow0127,poll52376254,st54,other,,loc0027
,ocd-id,,ocd-division/country:us/state:wv/county:mercer,ocd-division/country:us/state:wv/county:mer0138,poll84378720 poll64976337 poll35403503 poll96660151,st54,other,,loc0028
