name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Barbour County Courthouse,"26 North Main Street, Philippi, WV 26416",,08:30 AM-04:30 PM,,ho65133765,false,true,,,,poll72461889
Berkeley County Courthouse,"110 West King Street, Martinsburg, WV 25401",,09:00 AM-05:00 PM,,ho92961588,false,true,,,,poll63738791
Boone County Courthouse,"200 State Street, Madison, WV 25130",,08:00 AM-04:00 PM,,ho64222421,false,true,,,,poll26503714
Old Fisher Auto Parts Building ,"309 Main Street, Sutton, WV 26601",,08:00 AM-04:00 PM,,ho56217192,false,true,,,,poll30536452
Brooke County Courthouse,"632 Main Street, Wellsburg, WV 26070",,09:00 AM-05:00 PM,,ho89021953,false,true,,,,poll86429863
Cabell County Courthouse,"750 5th Avenue, Huntington, WV 25701",,08:30 AM-04:30 PM,,ho86728793,false,true,,,,poll22067836
Calhoun County Courthouse,"363 Main Street, Grantsville, WV 26147",,08:00 AM-04:00 PM,,ho41252231,false,true,,,,poll62727510
Clay County Courthouse,"246 Main Street, Clay, WV 25043",,08:00 AM-04:00 PM,,ho71392040,false,true,,,,poll23862889
Doddridge County Courthouse,"108 East Court St., West Union, WV 26456",Ste 1,08:30 AM-04:00 PM,,ho68296045,false,true,,,,poll40808337
Soldiers & Sailors Memorial,"200 W. Maple Avenue, Fayetteville, WV 25840",,08:00 AM-04:00 PM,,ho75802320,false,true,,,,poll60879839
Montgomery City Hall,"706 3rd Avenue, Montgomery, WV 25136",,08:00 AM-04:00 PM,,ho52074120,false,true,,,,poll17783388
Danese Community Building,"1493 Stanaford Road, Danese, WV 25831",,08:00 AM-04:00 PM,,ho21405121,false,true,,,,poll68958242
Gilmer County Courthouse,"10 Howard Street, Glenville, WV 26351",,08:00 AM-04:00 PM,,ho79460172,false,true,,,,poll85354860
Grant County Courthouse,"5 Highland Avenue, Petersburg, WV 26847",,08:30 AM-04:30 PM,,ho1639370,false,true,,,,poll8631147
Greenbrier County Courthouse,"200 N Court St., Lewisburg, WV 24901",,08:00 AM-04:30 PM,,ho9478491,false,true,,,,poll26654309
Hampshire County Courthouse,"19 E. Main Street, Romney, WV 26757",,08:00 AM-04:00 PM,,ho7185536,false,true,,,,poll548381
Hancock County Courthouse,"102 North Court Street, New Cumberland, WV 26047",,08:30 AM-04:30 PM,,ho89294103,false,true,,,,poll61445082
Hardy County Courthouse,"204 Washington Street, Moorefield, WV 26836",,09:00 AM-04:00 PM,,ho37400737,false,true,,,,poll26485228
Harrison County Courthouse,"301 W. Main Street, Clarksburg, WV 26301",,08:30 AM-04:30 PM,,ho36414934,false,true,,,,poll99399915
Meadowbrook Mall,"2399 Meadowbrook Rd, Bridgeport, WV 26330",,10:00 AM-04:00 PM,,ho41721849,false,true,,,,poll1714892
