election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
,ocd-id,,ocd-division/country:us/state:wi/county:adams/place:jackson,oxf0001,poll32414025,st55,other,,loc0001
,ocd-id,,ocd-division/country:us/state:wi/county:polk/place:lincoln,am0008,poll75680458,st55,other,,loc0008
,ocd-id,,ocd-division/country:us/state:wi/county:chippewa/place:edson,b0010,poll46413510,st55,other,,loc0010
,ocd-id,,ocd-division/country:us/state:wi/county:ozaukee/place:saukville,saukvi0012,poll89389367,st55,other,,loc0012
,ocd-id,,ocd-division/country:us/state:wi/county:dodge/place:shields,watert0014,poll46503473,st55,other,,loc0014
,ocd-id,,ocd-division/country:us/state:wi/county:adams/place:colburn,hanc0016,poll66831031,st55,other,,loc0016
,ocd-id,,ocd-division/country:us/state:wi/county:barron/place:vance_creek,re0017,poll99168475,st55,other,,loc0017
,ocd-id,,ocd-division/country:us/state:wi/county:ashland/place:sanborn,ashl0019,poll51140604,st55,other,,loc0019
,ocd-id,,ocd-division/country:us/state:wi/place:elk_mound,elk_mo0021,poll79882077,st55,other,,loc0021
,ocd-id,,ocd-division/country:us/state:wi/place:bloomfield,pell_l0022,poll40680459,st55,other,,loc0022
,ocd-id,,ocd-division/country:us/state:wi/county:walworth/place:bloomfield,pell_l0023,poll60651581,st55,other,,loc0023
,ocd-id,,ocd-division/country:us/state:wi/county:walworth/place:sharon,sha0025,poll17317826,st55,other,,loc0025
,ocd-id,,ocd-division/country:us/state:wi/county:adams/place:new_haven,wisc_de0029,poll97582722,st55,other,,loc0029
,ocd-id,,ocd-division/country:us/state:wi/county:jackson/place:north_bend,melr0032,poll99737247,st55,other,,loc0032
,ocd-id,,ocd-division/country:us/state:wi/county:green/place:clarno,mon0034,poll33118963,st55,other,,loc0034
,ocd-id,,ocd-division/country:us/state:wi/county:green/place:jordan,arg0036,poll18025691,st55,other,,loc0036
,ocd-id,,ocd-division/country:us/state:wi/county:adams/place:preston,friends0040,poll91548150,st55,other,,loc0040
,ocd-id,,ocd-division/country:us/state:wi/county:monroe/place:angelo,spa0042,poll43647011,st55,other,,loc0042
,ocd-id,,ocd-division/country:us/state:wi/county:jackson/place:knapp,warr0044,poll32191872,st55,other,,loc0044
,ocd-id,,ocd-division/country:us/state:wi/county:adams/place:new_chester,grand_ma0046,poll5031670,st55,other,,loc0046
,ocd-id,,ocd-division/country:us/state:wi/county:monroe/place:oakdale,oakd0053,poll76724112,st55,other,,loc0053
,ocd-id,,ocd-division/country:us/state:wi/county:monroe/place:grant,warr0055,poll83183155,st55,other,,loc0055
,ocd-id,,ocd-division/country:us/state:wi/county:oconto/place:stiles,l0057,poll91576627,st55,other,,loc0057
,ocd-id,,ocd-division/country:us/state:wi/place:wyocena,wyoc0059,poll25734457,st55,other,,loc0059
,ocd-id,,ocd-division/country:us/state:wi/county:dane/place:perry,mount_ho0062,poll94261199,st55,other,,loc0062
,ocd-id,,ocd-division/country:us/state:wi/county:vernon/place:coon,wes0064,poll32590529,st55,other,,loc0064
,ocd-id,,ocd-division/country:us/state:wi/county:monroe/place:glendale,kend0069,poll7580856,st55,other,,loc0069
,ocd-id,,ocd-division/country:us/state:wi/county:crawford/place:scott,bosco0071,poll86950378,st55,other,,loc0071
,ocd-id,,ocd-division/country:us/state:wi/county:lafayette/place:seymour,shullsb0072,poll3423299,st55,other,,loc0072
,ocd-id,,ocd-division/country:us/state:wi/county:grant/place:marion,bosco0075,poll1338767,st55,other,,loc0075
,ocd-id,,ocd-division/country:us/state:wi/county:oneida/place:stella,rhinelan0081,poll11313964,st55,other,,loc0081
,ocd-id,,ocd-division/country:us/state:wi/county:jackson/place:franklin,tay0087,poll23531696,st55,other,,loc0087
,ocd-id,,ocd-division/country:us/state:wi/county:sheboygan/place:holland,cedar_gr0089,poll54203084,st55,other,,loc0089
,ocd-id,,ocd-division/country:us/state:wi/county:grant/place:woodman,wood0091,poll64076779,st55,other,,loc0091
,ocd-id,,ocd-division/country:us/state:wi/county:richland/place:sylvan,richland_0093,poll87950308,st55,other,,loc0093
,ocd-id,,ocd-division/country:us/state:wi/county:sauk/place:troy,sauk_c0098,poll55013875,st55,other,,loc0098
,ocd-id,,ocd-division/country:us/state:wi/county:adams/place:big_flats,arkd0102,poll75510437,st55,other,,loc0102
,ocd-id,,ocd-division/country:us/state:wi/county:juneau/place:clearfield,new_lis0107,poll43638757,st55,other,,loc0107
,ocd-id,,ocd-division/country:us/state:wi/county:richland/place:henrietta,richland_0109,poll29935509,st55,other,,loc0109
,ocd-id,,ocd-division/country:us/state:wi/county:green/place:cadiz,brownt0114,poll58287239,st55,other,,loc0114
,ocd-id,,ocd-division/country:us/state:wi/county:dane/place:dane,d0116,poll82718377,st55,other,,loc0116
