address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"316 Fish Ct, Oxford, WI 53952-9655",,,ho94078248,false,true,,,,poll94078248
"661 85th St, Amery, WI 54001-5310",,,ho44449957,false,true,,,,poll44449957
"2376 County Highway G, Boyd, WI 54726-5949",,,ho25109801,false,true,,,,poll25109801
"3762 Lakeland Rd, Saukville, WI 53080-1312",,,ho91318571,false,true,,,,poll91318571
"N1662 Wood Road, Watertown, WI 53098-3836",,,ho75761098,false,true,,,,poll75761098
"198 County Rd C, Hancock, WI 54943",08:00 AM-05:00 PM,,ho19761868,false,true,,,,poll19761868
"174 2nd Ave & County Hwy A, Reeve, WI 54004",,,ho57898663,false,true,,,,poll57898663
"69393 Highway 2, Ashland, WI 54806-0970",,,ho477738,false,true,,,,poll477738
"E206 Menomonie St, Elk Mound, WI 54739-9302",10:00 AM-06:00 PM,,ho75159080,false,true,,,,poll75159080
"N1100 Town Hall Rd, Pell Lake, WI 53157-0609",,,ho63963129,false,true,,,,poll63963129
"N1100 Town Hall Road, Pell Lake, WI 53157",,,ho24789861,false,true,,,,poll24789861
"N1097 Bollinger Rd, Sharon, WI 53585-9704",,,ho85711833,false,true,,,,poll85711833
"3890 County Road G, Wisc Dells, WI 53965-8621",05:30 PM-07:30 PM,,ho1965772,false,true,,,,poll1965772
"N631 N Bend Dr, Melrose, WI 54642-8443",,,ho62241228,false,true,,,,poll62241228
"W6764 CTH B, Monroe, WI 53566",,,ho9259311,false,true,,,,poll9259311
"W8495 State Road 81, Argyle, WI 53504-9629",,,ho55955828,false,true,,,,poll55955828
"1801 11th Ave, Friendship, WI 53934-9724",,,ho46150807,false,true,,,,poll46150807
"10196 State Highway 21, Sparta, WI 54656-6400",,,ho20707944,false,true,,,,poll20707944
"24248 Atlas Avenue, Warrens, WI 54666",,,ho76702373,false,true,,,,poll76702373
"629 Mason St, Grand Marsh, WI 53936-9576",,,ho93318449,false,true,,,,poll93318449
"228 Ballpark Drive, Oakdale, WI 54649",,,ho64243712,false,true,,,,poll64243712
"19460 Bittersweet Ave, Warrens, WI 54666",,,ho31660865,false,true,,,,poll31660865
"5718 Watercrest Rd, Lena, WI 54139",,,ho53899920,false,true,,,,poll53899920
"165 E Dodge St Box 913, Wyocena, WI 53969",08:00 AM-04:30 PM,,ho75279114,false,true,,,,poll75279114
"10084 County Road A, Mount Horeb, WI 53572-3237",,,ho82993965,false,true,,,,poll82993965
"1717 Strang Sterling Valley Rd, Westby, WI 54667",,,ho8676757,false,true,,,,poll8676757
"27337 Mocha Rd, Kendall, WI 54638-8616",,,ho29107874,false,true,,,,poll29107874
"24265 Shady Ln, Boscobel, WI 53805-8404",08:00 AM-07:00 PM,,ho23399333,false,true,,,,poll23399333
"10975 County Road O, Shullsburg, WI 53586-9772",,,ho95390269,false,true,,,,poll95390269
"16481 O'shadow Ln, Boscobel, WI 53805",,,ho47573449,false,true,,,,poll47573449
"2496 County C, Rhinelander, WI 54501-9583",10:00 AM-04:00 PM,,ho89313773,false,true,,,,poll89313773
"W16177 County Road C, Taylor, WI 54659",,,ho36209863,false,true,,,,poll36209863
"W3005 County Road G, Cedar Grove, WI 53013",,,ho97034296,false,true,,,,poll97034296
"15047 County Road K, Woodman, WI 53827-9710",,,ho33163910,false,true,,,,poll33163910
"12988 Jo-Dy Lane, Richland Ctr, WI 53581",,,ho35684270,false,true,,,,poll35684270
"E9699 Fuchs Rd, Sauk City, WI 53583-9683",,,ho56665130,false,true,,,,poll56665130
"1104 County Road C, Arkdale, WI 54613-9728",,,ho57795792,false,true,,,,poll57795792
"N8856 State Road 80, New Lisbon, WI 53950",,,ho47927410,false,true,,,,poll47927410
"22219 Market St., Richland Ctr, WI 53581",,,ho13638772,false,true,,,,poll13638772
"W8445 County Road B, Browntown, WI 53522",,,ho21990446,false,true,,,,poll21990446
"213 W Main St, Dane, WI 53529",,,ho51547855,false,true,,,,poll51547855
"20391 Buckta Hill Rd., Richland Ctr, WI 53581",,,ho59396222,false,true,,,,poll59396222
"13069 State Highway 61, Soldier Grove, WI 54655-7094",,,ho3609163,false,true,,,,poll3609163
"S1299 County Road P, Cashton, WI 54619",03:00 PM-07:00 PM,,ho48317782,false,true,,,,poll48317782
"W 649 Hesch Valley Rd, Cochrane, WI 54622",05:00 PM-07:00 PM,,ho33332986,false,true,,,,poll33332986
"18153 Spangler Rd., Hillsboro, WI 54634-3561",,,ho38789555,false,true,,,,poll38789555
"200 Commercial Street, Arlington, WI 53911",,,ho60704823,false,true,,,,poll60704823
