start_time,end_time,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,start_date,end_date,hours_open_id,id
,,true,true,,2016-09-19,2016-09-23,ho94078248,sch0001
,,true,true,,2016-09-26,2016-09-30,ho94078248,sch0002
,,true,true,,2016-10-03,2016-10-07,ho94078248,sch0003
,,true,true,,2016-10-10,2016-10-14,ho94078248,sch0004
,,true,true,,2016-10-17,2016-10-21,ho94078248,sch0005
,,true,true,,2016-10-24,2016-10-28,ho94078248,sch0006
,,true,true,,2016-10-31,2016-11-04,ho94078248,sch0007
,,true,true,,2016-10-24,2016-10-28,ho44449957,sch0008
,,true,true,,2016-10-31,2016-11-04,ho44449957,sch0009
,,true,true,,2016-10-24,2016-10-28,ho25109801,sch0010
,,true,true,,2016-10-31,2016-11-04,ho25109801,sch0011
,,true,true,,2016-10-24,2016-10-28,ho91318571,sch0012
,,true,true,,2016-10-31,2016-11-04,ho91318571,sch0013
,,true,true,,2016-10-24,2016-10-28,ho75761098,sch0014
,,true,true,,2016-10-31,2016-11-04,ho75761098,sch0015
08:00:00-05:00,17:00:00-05:00,true,false,,,,ho19761868,sch0016
,,true,false,,2016-10-24,2016-10-28,ho57898663,sch0017
,,true,false,,2016-10-31,2016-11-04,ho57898663,sch0018
,,true,false,,2016-10-24,2016-10-28,ho477738,sch0019
,,true,false,,2016-10-31,2016-11-04,ho477738,sch0020
10:00:00-05:00,18:00:00-05:00,true,false,,2016-09-21,2016-11-06,ho75159080,sch0021
,,true,false,,2016-09-26,2016-10-21,ho63963129,sch0022
,,true,false,,2016-10-24,2016-10-28,ho24789861,sch0023
,,true,false,,2016-10-31,2016-11-04,ho24789861,sch0024
,,true,false,,2016-10-10,2016-10-14,ho85711833,sch0025
,,true,false,,2016-10-17,2016-10-21,ho85711833,sch0026
,,true,false,,2016-10-24,2016-10-28,ho85711833,sch0027
,,true,false,,2016-10-31,2016-11-04,ho85711833,sch0028
17:30:00-05:00,19:30:00-05:00,true,false,,2016-10-24,2016-10-28,ho1965772,sch0029
17:30:00-05:00,19:30:00-05:00,true,false,,2016-10-31,2016-11-03,ho1965772,sch0030
16:00:00-05:00,17:00:00-05:00,true,false,,2016-11-04,2016-11-04,ho1965772,sch0031
,,true,false,,2016-10-24,2016-10-28,ho62241228,sch0032
,,true,false,,2016-10-31,2016-11-04,ho62241228,sch0033
,,true,false,,2016-10-24,2016-10-28,ho9259311,sch0034
,,true,false,,2016-10-31,2016-11-04,ho9259311,sch0035
,,true,false,,2016-10-24,2016-10-28,ho55955828,sch0036
,,true,false,,2016-10-31,2016-11-04,ho55955828,sch0037
,,true,false,,2016-10-24,2016-10-28,ho46150807,sch0038
,,true,false,,2016-10-31,2016-11-04,ho46150807,sch0039
,,true,false,,2016-10-24,2016-10-28,ho20707944,sch0040
,,true,false,,2016-10-31,2016-11-04,ho20707944,sch0041
,,true,false,,2016-10-24,2016-10-29,ho76702373,sch0042
,,true,false,,2016-10-31,2016-11-05,ho76702373,sch0043
,,true,false,,2016-09-19,2016-09-23,ho93318449,sch0044
,,true,false,,2016-09-26,2016-09-30,ho93318449,sch0045
,,true,false,,2016-10-03,2016-10-07,ho93318449,sch0046
,,true,false,,2016-10-10,2016-10-14,ho93318449,sch0047
,,true,false,,2016-10-17,2016-10-21,ho93318449,sch0048
,,true,false,,2016-10-24,2016-10-28,ho93318449,sch0049
,,true,false,,2016-10-31,2016-11-04,ho93318449,sch0050
,,true,false,,2016-10-24,2016-10-28,ho64243712,sch0051
,,true,false,,2016-10-31,2016-11-03,ho64243712,sch0052
,,true,false,,2016-10-24,2016-10-28,ho31660865,sch0053
,,true,false,,2016-10-31,2016-11-04,ho31660865,sch0054
,,true,false,,2016-10-24,2016-10-28,ho53899920,sch0055
,,true,false,,2016-10-31,2016-11-04,ho53899920,sch0056
08:00:00-05:00,16:30:00-05:00,true,false,,2016-10-24,2016-10-28,ho75279114,sch0057
08:00:00-05:00,16:30:00-05:00,true,false,,2016-10-31,2016-11-03,ho75279114,sch0058
08:00:00-05:00,17:00:00-05:00,true,false,,2016-11-04,2016-11-04,ho75279114,sch0059
,,true,false,,2016-10-24,2016-10-28,ho82993965,sch0060
,,true,false,,2016-10-31,2016-11-04,ho82993965,sch0061
,,true,false,,2016-10-03,2016-10-07,ho8676757,sch0062
,,true,false,,2016-10-10,2016-10-14,ho8676757,sch0063
,,true,false,,2016-10-17,2016-10-21,ho8676757,sch0064
,,true,false,,2016-10-24,2016-10-28,ho8676757,sch0065
,,true,false,,2016-10-31,2016-11-04,ho8676757,sch0066
,,true,false,,2016-10-24,2016-10-28,ho29107874,sch0067
,,true,false,,2016-10-31,2016-11-04,ho29107874,sch0068
08:00:00-05:00,19:00:00-05:00,true,false,,2016-10-24,2016-11-04,ho23399333,sch0069
,,true,false,,2016-10-17,2016-10-21,ho95390269,sch0070
,,true,false,,2016-10-24,2016-10-28,ho95390269,sch0071
,,true,false,,2016-10-31,2016-11-04,ho95390269,sch0072
,,true,false,,2016-09-26,2016-09-30,ho47573449,sch0073
,,true,false,,2016-10-03,2016-10-07,ho47573449,sch0074
,,true,false,,,,ho47573449,sch0075
10:00:00-05:00,16:00:00-05:00,true,false,,2016-09-26,2016-09-29,ho89313773,sch0076
10:00:00-05:00,16:00:00-05:00,true,false,,2016-10-03,2016-10-06,ho89313773,sch0077
10:00:00-05:00,16:00:00-05:00,true,false,,2016-10-10,2016-10-13,ho89313773,sch0078
10:00:00-05:00,16:00:00-05:00,true,false,,2016-10-17,2016-10-20,ho89313773,sch0079
10:00:00-05:00,16:00:00-05:00,true,false,,2016-10-24,2016-10-27,ho89313773,sch0080
10:00:00-05:00,16:00:00-05:00,true,false,,2016-10-31,2016-11-03,ho89313773,sch0081
,,true,false,,2016-10-24,2016-10-28,ho36209863,sch0082
,,true,false,,2016-10-31,2016-11-04,ho36209863,sch0083
,,true,false,,2016-10-24,2016-10-28,ho97034296,sch0084
,,true,false,,2016-10-31,2016-11-04,ho97034296,sch0085
,,true,false,,2016-10-24,2016-10-28,ho33163910,sch0086
,,true,false,,2016-10-31,2016-11-04,ho33163910,sch0087
,,true,false,,2016-10-03,2016-10-07,ho35684270,sch0088
,,true,false,,2016-10-10,2016-10-14,ho35684270,sch0089
,,true,false,,2016-10-17,2016-10-21,ho35684270,sch0090
,,true,false,,2016-10-24,2016-10-28,ho35684270,sch0091
,,true,false,,2016-10-31,2016-11-04,ho35684270,sch0092
,,true,false,,2016-10-10,2016-10-14,ho56665130,sch0093
,,true,false,,2016-10-17,2016-10-21,ho56665130,sch0094
,,true,false,,2016-10-24,2016-10-28,ho56665130,sch0095
,,true,false,,2016-10-31,2016-11-04,ho56665130,sch0096
,,true,false,,2016-10-03,2016-10-07,ho57795792,sch0097
,,true,false,,2016-10-10,2016-10-14,ho57795792,sch0098
,,true,false,,2016-10-17,2016-10-21,ho57795792,sch0099
