ocd_division,email,county,loc_name,address_one,address_two,city,state,zip,start_time,end_time,start_date,end_date,by_appointment_one,by_appointment_two,appointmnents,subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,9/23/16,9/23/16,False,False,False,False,1,"525 Grand Ave Ste 202 Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho43476038,False,True,,,,poll14485596
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,9/26/16,9/30/16,False,False,False,False,2,"525 Grand Ave Ste 202 Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho43476038,False,True,,,,poll14485596
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10/3/16,10/7/16,False,False,False,False,3,"525 Grand Ave Ste 202 Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho43476038,False,True,,,,poll14485596
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10/11/16,10/14/16,False,False,False,False,4,"525 Grand Ave Ste 202 Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho43476038,False,True,,,,poll14485596
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10/17/16,10/21/16,False,False,False,False,5,"525 Grand Ave Ste 202 Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho43476038,False,True,,,,poll14485596
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10/24/16,10/28/16,False,False,False,False,6,"525 Grand Ave Ste 202 Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho43476038,False,True,,,,poll14485596
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 6:00,17:00:00 - 6:00 ,10/31/16,11/4/16,False,False,False,False,7,"525 Grand Ave Ste 202 Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho43476038,False,True,,,,poll14485596
ocd-division/country:us/state:wy/county:albany,jgonzales@co.albany.wy.us,Albany County,Albany County Courthouse,525 Grand Ave,Ste 202,Laramie,WY,82070,9:00:00 - 7:00,17:00:00 - 7:00 ,11/7/16,11/7/16,False,False,False,False,8,"525 Grand Ave Ste 202 Laramie, WY 82070",,09:00 AM - 05:00 PM,,ho43476038,False,True,,,,poll14485596
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,9/23/16,9/23/16,False,False,False,False,9,"420 West C Street nan Basin, WY 82410",,08:00 AM - 05:00 PM,,ho18164005,False,True,,,,poll14991705
ocd-division/country:us/state:wy/county:big_horn,Lori.Smallwood@bighorncountywy.gov,Big Horn County,Big Horn County Courthouse,420 West C Street,,Basin,WY,82410,8:00:00 - 6:00,17:00:00 - 6:00 ,9/26/16,9/30/16,False,False,False,False,10,"420 West C Street nan Basin, WY 82410",,08:00 AM - 05:00 PM,,ho18164005,False,True,,,,poll14991705
